#VIN code	Description
A	Manual Seat Belts and Driver and Passenger Front Airbags ('13-'14 Viper)
A	Manual Seat Belts and Driver and Passenger Front Airbags & Side Airbags (1st row) ('15 & Early '16 Dodge Viper only)
B	Manual Seat Belts and Driver and Passenger Front Airbags & Side Airbags (1st row) ('12-'14 Chrysler 200 convertible, '16-'17 Dodge Viper)
C	Manual Seat Belts and Driver and Passenger Front Airbags & Side Airbags (all rows)
