#Code	Description
D	Passenger Car
K	Passenger Car
N	Passenger Car
X	Passenger Car
1	Passenger Car
2	Passenger Car
7	Passenger Car
A	Truck
B	Truck
F	Truck
4	Truck
G	Bus
E	Multipurpose Passenger Vehicle (SUV)
L	Multipurpose Passenger Vehicle (SUV)
M	Multipurpose Passenger Vehicle (SUV)
3	Multipurpose Passenger Vehicle (SUV)
5	Incomplete Vehicle (typically a convertible)
