# wmi   manufacturer
2V4	VOLKSWAGEN CANADA
2V8	VOLKSWAGEN CANADA
2WK	WESTERN STAR
2WL	WESTERN STAR
2WM	WESTERN STAR
2XK	KENWORTH
2XM	EAGLE
2XP	PETERBILT
3A4	CHRYSLER
3A8	CHRYSLER
3AB	DINA
3AL	FREIGHTLINER
3B3	DODGE
3B4	DODGE
3B6	DODGE
3B7	DODGE
3BK	KENWORTH
3BP	PETERBILT
3C3	CHRYSLER
3C4	CHRYSLER MEXICO
3C8	CHRYSLER
3CA	CHRYSLER
3CE	VOLVO
3CZ	HONDA
3D3	DODGE MEXICO
3D5	DODGE
3D6	DODGE
3D7	DODGE
3F	FORD
3FA	FORD MOTOR COMPANY MEXICO
3FB	FORD
3FC	FORD
3FD	FORD
3FE	FORD MOTOR COMPANY MEXICO
3FF	FORD
3FR	FORD
3FT	FORD
3G	GENERAL MOTORS
3G1	CHEVROLET
3G2	PONTIAC
3G4	BUICK
3G5	BUICK
3G7	PONTIAC
3G8	CHEVROLET
3GA	CHEVROLET
3GB	CHEVROLET
3GC	CHEVROLET
3GD	GMC
3GE	CHEVROLET
3GG	CADILLAC
3GK	GMC
3GM	PONTIAC
3GN	CHEVROLET
3GT	GMC
3GY	CADILLAC
3H	HONDA MEXICO
3H1	HONDA
3HA	INTERNATIONAL
3HG	HONDA
3HM	HONDA
3HS	INTERNATIONAL
3HT	INTERNATIONAL
3JB	BRP MEXICO (ALL-TERRAIN VEHICLES)
3KP	KIA
3LN	LINCOLN
3MA	MERCURY
3ME	MERCURY
3MZ	MAZDA MEXICO
3N	NISSAN
3N1	NISSAN
3N6	NISSAN
3N8	NISSAN
3NK	KENWORTH
3NM	PETERBILT
3P3	PLYMOUTH MEXICO
3TM	TOYOTA
3VW	VOLKSWAGEN
3WK	KENWORTH
45V	UTILIMASTER
46G	GILLIG
478	HONDA
49H	STERLING
4A3	MITSUBISHI
4A4	MITSUBISHI
4B3	DODGE
4C3	CHRYSLER
4CD	OSHKOSH
4DR	GENESIS, INTERNATIONAL
4E3	EAGLE
4F	MAZDA
4F2	MAZDA
4F4	MAZDA
4G1	CHEVROLET
4G2	PONTIAC
4GB	CHEVROLET
4GD	GMC
4GT	ISUZU, WHITEGMC
4J	MERCEDES-BENZ
4J4	JEEP
4JG	MERCEDES-BENZ USA
4KB	CHEVROLET
4KD	GMC
4KL	ISUZU
4M	MERCURY
4M2	MERCURY
4N1	NISSAN
4N2	NISSAN
4NU	ISUZU
4P3	PLYMOUTH
4RK	NOVA BUS USA
4S	SUBARU-ISUZU AUTOMOTIVE
4S1	ISUZU
4S2	ISUZU
4S3	SUBARU
4S4	SUBARU
4S6	HONDA
4S7	SPARTAN
4SL	MAGNUM
4T	TOYOTA
4T1	TOYOTA
4T3	TOYOTA
4T9	LUMEN MOTORS (ZERO-EMISSION MID-ENGINED CAR)
4TA	TOYOTA
4UF	ARCTIC CAT INC.
4US	BMW
4UZ	FRT-THOMAS BUS
4V1	VOLVO
4V2	VOLVO
4V3	VOLVO
4V4	VOLVO
4V5	VOLVO
4V6	VOLVO
4VA	VOLVO
4VG	VOLVO, WHITEGMC
4VH	VOLVO
4VJ	VOLVO
4VK	VOLVO
4VL	VOLVO
4VM	VOLVO
4VZ	VOLVO
538	ZERO MOTORCYCLES (USA)
55	MERCEDES-BENZ
5AS	GEM
5B4	WORKHORSE
5CK	WESTERN STAR TRUCKS
5F	HONDA USA-ALABAMA
5FN	HONDA
5FP	HONDA
5FY	NEW FLYER
5GA	BUICK
5GR	HUMMER
5GT	HUMMER
5GZ	SATURN
5J6	HONDA
5J8	ACURA
5KJ	WESTERN STAR TRUCKS
5KK	WESTERN STAR TRUCKS
5L	LINCOLN
5LM	LINCOLN
5LT	LINCOLN
5N1	NISSAN
5N3	INFINITI
5NM	HYUNDAI
5NP	HYUNDAI
5PV	HINO
5S3	SAAB
5SA	SUZUKI
5SX	AMERCIAN LEFRANCE
5T	TOYOTA
5T4	WORKHORSE
5TB	TOYOTA
5TD	TOYOTA
5TE	TOYOTA
5TF	TOYOTA
5U	BMW
5UM	BMW
5UX	BMW
5X	HYUNDAI/KIA
5XY	KIA
5Y2	PONTIAC
5YJ	TESLA
5YM	BMW
5Z6	SUZUKI
6AB	MAN AUSTRALIA
6F	FORD
6F4	NISSAN MOTOR COMPANY AUSTRALIA
6F5	KENWORTH AUSTRALIA
6FP	FORD MOTOR COMPANY AUSTRALIA
6G	GENERAL MOTORS
6G1	CHEVROLET
6G2	PONTIAC
6H	HOLDEN
6H8	GENERAL MOTORS-HOLDEN (PRE NOV 2002)
6MM	MITSUBISHI
6MP	MERCURY
6T1	TOYOTA
6U9	JAPANESE IMPORTS
7A1	MITSUBISHI
7A3	HONDA
7A4	TOYOTA
7A5	FORD
7A8	NZ TRANSPORT AGENCY (PRE-2009)
7AT	NZ TRANSPORT AGENCY (POST-2009)
8A1	RENAULT
8AC	MERCEDES BENZ
8AD	PEUGEOT
8AF	FORD
8AG	GENERAL MOTORS
8AJ	TOYOTA
8AK	SUZUKI ARGENTINA
8AP	FIAT
8AT	IVECO
8AW	VOLKSWAGEN
8BC	CITROËN
8C3	HONDA
8GD	PEUGEOT CHILE
8GG	CHEVROLET CHILE
935	CITROËN
936	PEUGEOT
93H	HONDA
93R	TOYOTA BRAZIL
93U	AUDI BRAZIL
93V	AUDI BRAZIL
93W	FIAT PROFESSIONAL
93X	SOUZA RAMOS - MITSUBISHI / SUZUKI
93Y	RENAULT
93Z	IVECO
94D	NISSAN
94N	RWM BRAZIL
953	VW TRUCKS / MAN
95P	CAOA / HYUNDAI
988	JEEP
98M	BMW
98R	CHERY
99A	AUDI
99J	JAGUAR LAND ROVER
9BD	FIAT AUTOMÓVEIS
9BF	FORD
9BG	GENERAL MOTORS
9BH	HYUNDAI
9BM	MERCEDES-BENZ
9BR	TOYOTA
9BS	SCANIA
9BV	VOLVO TRUCKS
9BW	VOLKSWAGEN
9C2	HONDA MOTORCYCLES
9C6	YAMAHA
9CD	SUZUKI (MOTORCYCLES)
9DB	MERCEDES-BENZ
9DW	VOLKSWAGEN
9FB	RENAULT
9UJ	CHERY
9UK	LIFAN
9UW	KIA
AAV	VOLKSWAGEN
AC5	HYUNDAI SOUTH AFRICA
ADD	HYUNDAI SOUTH AFRICA
AFA	FORD
AHT	TOYOTA
BF9	KIBO MOTORCYCLES
CL9	WALLYSCAR
J81	CHEVROLET,GEO
J87	ISUZU
J8B	CHEVROLET
J8C	CHEVROLET
J8D	GMC
J8Y	CHEVROLET
J8Z	CHEVROLET
JA	ISUZU
JA3	MITSUBISHI
JA4	MITSUBISHI
JA7	MITSUBISHI
JAA	ISUZU
JAB	ISUZU
JAC	ISUZU
JAE	ACURA
JAL	ISUZU
JB3	DODGE
JB4	DODGE
JB7	DODGE
JC1	FIAT AUTOMOBILES/MAZDA
JC2	FORD
JD	DAIHATSU
JD1	DAIHATSU
JD2	DAIHATSU
JE3	EAGLE
JF	FUJI HEAVY INDUSTRIES (SUBARU)
JF1	SUBARU
JF1-JF3	SUBARU - FUJI HEAVY INDUSTRIES
JF2	SUBARU
JF3	SUBARU
JF4	SAAB
JF5	PONTIAC
JG1	CHEVROLET, GEO
JG7	PONTIAC
JGC	CHEVROLET, GEO
JH	HONDA
JH2	HONDA
JH3	HONDA
JH4	ACURA
JHB	HINO
JHK	HONDA
JHL	HONDA
JHM	HONDA
JJ3	CHRYSLER
JK	KAWASAKI (MOTORCYCLES)
JK8	SUZUKI
JKS	SUZUKI
JL5	MITSUBISHI FUSO
JL6	MITSUBISHI
JLS	STERLING
JM0	MAZDA FOR OCEANIA EXPORT
JM1	MAZDA
JM2	MAZDA
JM3	MAZDA
JM6	MAZDA
JMB	MITSUBISHI
JMY	MITSUBISHI MOTORS
JMZ	MAZDA
JN	NISSAN
JN1	DATSUN, NISSAN
JN3	NISSAN
JN4	NISSAN
JN6	DATSUN, NISSAN
JN8	NISSAN
JNA	NISSAN
JNK	INFINITI
JNR	INFINITI
JNX	INFINITI
JP3	PLYMOUTH
JP4	PLYMOUTH
JP7	PLYMOUTH
JR2X	ISUZU
JS	SUZUKI
JS1	SUZUKI
JS2	SUZUKI
JS3	SUZUKI
JS4	SUZUKI
JSA	SUZUKI
JSL	SUZUKI
JT	TOYOTA
JT2	TOYOTA
JT3	TOYOTA
JT4	TOYOTA
JT5	TOYOTA
JT6	LEXUS
JT8	LEXUS
JTD	TOYOTA
JTE	TOYOTA
JTH	LEXUS
JTJ	LEXUS
JTK	SCION
JTL	SCION
JTM	TOYOTA
JTN	TOYOTA
JW6	MITSUBISHI
JW7	MITSUBISHI
JY	YAMAHA
KL	DAEWOO/GM KOREA
KL1	CHEVROLET
KL2	PONTIAC
KL5	SUZUKI
KL7	ASUNA
KLA	DAEWOO
KM	HYUNDAI
KM1	HYOSUNG (MOTORCYCLES)
KM4	SUZUKI
KM8	HYUNDAI
KMF	HYUNDAI
KMH	HYUNDAI
KMY	DAELIM (MOTORCYCLES)
KN	KIA
KNA	KIA
KNB	KIA
KNC	KIA
KND	HYUNDAI, KIA
KNJ	FORD
KNM	RENAULT SAMSUNG
KPA	SSANGYONG
KPH	MITSUBISHI
KPT	SSANGYONG
L2C	CHERY JAGUAR LAND ROVER
L4B	XINGYUE GROUP (MOTORCYCLES)
L56	RENAULT SAMSUNG
L5C	KANGDI (ATV)
L5K	ZHEJIANG YONGKANG EASY VEHICLE
L5N	ZHEJIANG TAOTAO
L5Y	MERATO MOTORCYCLE TAIZHOU ZHONGNENG
L6T	GEELY
L85	ZHEJIANG YONGKANG HUABAO ELECTRIC APPLIANCE
L8X	ZHEJIANG SUMMIT HUAWIN MOTORCYCLE
LA6	KING LONG
LAN	CHANGZHOU YAMASAKI MOTORCYCLE
LB2	GEELY MOTORCYCLES
LB3	GEELY
LBB	ZHEJIANG QIANJIANG MOTORCYCLE (KEEWAY/GENERIC)
LBE	BEIJING HYUNDAI
LBM	ZONGSHEN PIAGGIO
LBP	CHONGQING JAINSHE YAMAHA (MOTORCYCLES)
LBV	BMW BRILLIANCE
LC0	BYD INDUSTRY
LCE	HANGZHOU CHUNFENG MOTORCYCLES (CFMOTO)
LDC	DONGFENG PEUGEOT-CITROËN
LDD	DANDONG HUANGHAI AUTOMOBILE
LDN	SOUEAST MOTOR
LDY	ZHONGTONG COACH
LE4	BEIJING BENZ
LES	ISUZU
LET	JIANGLING-ISUZU MOTORS
LFB	FAW
LFG	TAIZHOU CHUANL MOTORCYCLE MANUFACTURING
LFM	FAW TOYOTA
LFP	FAW CAR
LFT	FAW
LFV	FAW-VOLKSWAGEN
LFW	FAW JIEFANG
LFY	CHANGSHU LIGHT MOTORCYCLE FACTORY
LGB	DONGFENG NISSAN
