#VIN code	Description
F	5001-6000 lbs. GVWR, Hydraulic Brakes, Manual Seat Belts and Driver and Passenger Front Airbags & Side Airbags (All Rows). ('18 Stelvio)
P	5001-6000 lbs. GVWR, Hydraulic Brakes, Manual Seat Belts and Driver and Passenger Front Airbags & Side Airbags (All Rows). ('19- Stelvio, '24- Tonale)
