#Code	Description
J	FCA Poland plant, Tychy, Poland (Junior)
M	Maserati Modena plant, Modena, Italy (4C)
X	Fiat Mirafiori plant, Mirafiori district, Turin, Italy ('14-'18 Mito)
0	Maserati Modena plant, Modena, Italy (8C)
1	Alfa Romeo Arese plant, Arese, Milan, Lombardy, Italy (GTV6, Milano, '81-'88 Spider)
3	Fiat Pomigliano d'Arco plant, Pomigliano d'Arco, Italy (Tonale, '04-'10 147, '09-'10 GT)
6	Alfa Romeo Arese plant, Arese, Milan, Lombardy, Italy (164, '88-'91 Spider)
7	Alfa Romeo Arese plant, Arese, Milan, Lombardy, Italy ('92-'94 Spider)
7	Fiat Cassino plant, Piedimonte San Germano, Italy (Giulietta, Giulia, Stelvio)
