#Code	Description
D	4DR Sedan (Lexus GS350 AWD [base model] '20)
E	4DR Sedan (Lexus GS350 F Sport '20)
F	4DR Sedan (Lexus GS350 RWD [base model], GS350 AWD [base model w/Premium Package] '20)
G	4DR Sedan (Lexus GS350 F Sport Black Line '20)
