#Code	Description
B	5DR Wagon 4WD (Venza '10-'15 & '16 in Canada, FJ Cruiser '10-'14, 4Runner '10-'20, Lexus RX350 '10-'19, RX450h '10-'19, NX200t '15-'17, NX300 '18-'19, NX300h '15-'19)
C	4DR Wagon 4WD (Land Cruiser '16-'21)
D	5DR Wagon extended length 4WD w/3rd row seat (Lexus RX350L '18-'19, RX450hL '18-'19)
G	5DR Wagon extended length 2WD w/3rd row seat (Lexus RX350L '18-'19)
H	4DR Wagon 4WD (Land Cruiser '10-'11, '13-'15, Lexus LX570 '10-'11, '13-'19)
Y	5DR Wagon 2WD (Lexus NX200t '15-'17, NX300 '18-'19, NX300h '15-'16)
Z	5DR Wagon 2WD (Scion xB '10-'15, Venza '10-'15 & '16 in Canada, FJ Cruiser '10-'14, 4Runner '10-'20, Lexus RX350 '10-'19, RX450h '10-'16)
A	5DR Wagon (Toyota bZ4X '23-, Subaru Solterra '23-, Lexus RZ450e '23-)
