#Code	Description
A	Toyota Mirai ('21-) JPD20L, 2wd
A	Toyota Crown ('23-) 2.5L Hybrid Awd: AZSH35L, 2.4L Turbo Hybrid Max Awd: TZSH35L
B	Lexus GS350 2wd ('20) GRL12L
C	Lexus GS350 4wd ('20) GRL16L
